page number,1st recipe on page,1st google search result,instructions
,,,Serve the fish with lemon wedges.
404,broiled fish fillets with seasoned bread crumbs,https://www.thespruceeats.com/baked-fish-fillets-with-seasoned-crumb-topping-3057298,Gather the ingredients.
,,,Preheat the oven to 400 F.
,,,Wipe the fish fillets with a damp cloth.
,,,Sprinkle both sides of the fish with kosher salt and freshly ground black pepper.
,,,Place the fish fillets in a shallow greased baking pan or on a greased broiler rack.
,,,Mix bread crumbs with 2 tablespoons of the butter and the dried thyme.
,,,"Sprinkle the mixture over the fish, coating as best you can."
,,,Then drizzle the remaining butter over the breaded fish.
,,,"Bake the fish in the preheated oven for 15 to 25 minutes, or until fish is flaky and the bread crumb topping has browned lightly."
,,,The time depends on the thickness of the fish.
,,,Baking time can vary greatly.
,,,"Check very thin fillets, such as sole and flounder, after about 12 minutes."
,,,"If the crumbs have not browned, broil the fillets for a minute or two, just until golden brown."
,,,Serve the fish fillets immediately with lemon wedges and garnish with parsley.
,,,Enjoy!
407,panfried whole fish,https://thewoksoflife.com/pan-fried-fish/,"Clean the fish, removing all scales, making sure to pay attention to scales on the belly, the head, and near the fins."
,,,"Even if you have it cleaned at your fish market, fish mongers always tend to miss some scales."
,,,Make sure you clean out the inside of the fish as well.
,,,Let the fish drain in a colander and pat both sides dry with a paper towel.
,,,Transfer to a plate.
,,,Sprinkle salt on both sides of both fish--use about 1/4 teaspoon in total.
,,,Set aside for 15 minutes.
,,,"Heat your wok over medium-high heat, and spread 3 tablespoons of oil around the perimeter."
,,,Add the ginger.
,,,"After about 10 seconds, turn the ginger over for another 10 seconds and push them to the side."
,,,The wok should be hot but not smoking too much (an indication that the wok is too hot).
,,,The ginger should be slightly caramelized but not burned.
,,,"Use a paper towel to pat the fish dry again, and carefully place into the wok in one motion."
,,,"Do not move the fish! After about 1 minute, turn the heat down to medium; you want to get a nice light crust on the skin without it burning."
,,,"Tilt the wok carefully one side at a time so the oil distributes around the perimeter of the fish, including the head and the tail."
,,,You can add more oil around the perimeter of the wok if you want some extra insurance against sticking.
,,,Continue frying the fish for 5 to 6 minutes on the first side.
,,,"At this point, a light crust should have formed, and you can give the wok a little shake now--the fish should slide around easily."
,,,"If not, you can use a metal spatula to lift the fish slightly and peek underneath to check the color and to make sure the fish is not sticking."
,,,The fish should be a nice golden brown.
,,,"If the fish still sticks, then you probably have the heat too low, so turn it up slightly, add a little more oil, and let it cook for another 1 to 2 minutes! Once you have the fish sliding around in the wok or pan and the first side is golden brown, then you are ready for the flip! Carefully slide the spatula under the middle of the fish on the side towards the middle of the wok and in one steady motion, lift and flip it towards the outside of the wok."
,,,Repeat the same “flip” for the other fish.
,,,"Let the fish fry on the second side for another 4 minutes and again, add some oil if you think it is necessary."
,,,"While the fish is frying, dissolve the sugar and hot water in a small bowl, and add the soy sauce, white pepper, and sesame oil (if using)."
,,,Set aside.
,,,Shake the wok to make sure the fish is not stuck.
,,,"Next, add the Shaoxing wine around the perimeter of the wok and let cook off for 30 seconds."
,,,Pour the soy sauce mixture around the perimeter of the wok and turn the heat back up until the sauce is simmering (about 30 seconds).
,,,Add in the chopped scallions.
,,,"Turn off the heat, and use your spatula to carefully transfer the fish to serving plates."
,,,"Scoop up the rest of the remaining sauce, pour evenly over the fish and serve!."
432,sesame chicken,https://www.dinneratthezoo.com/lighter-honey-sesame-chicken/,"Place the eggs, salt and pepper in a bowl."
,,,Stir to combine.
,,,Place the flour and 1/2 cup of cornstarch in a shallow bowl or on a plate.
,,,Stir to combine.
,,,"Dip each piece of chicken into the egg mixture, then into the flour."
,,,Repeat the process with all of the chicken.
,,,Heat 3 inches of oil in a deep pan to 350 degrees F.
,,,Add 7-8 pieces of chicken to the pan.
,,,Cook for 5 minutes or until crispy and golden brown.
,,,Repeat the process with the remaining chicken.
,,,Drain the chicken on paper towels.
,,,"While the chicken is cooking, combine the honey, soy sauce, ketchup, brown sugar, rice vinegar, sesame oil and 2 teaspoons of cornstarch in a bowl."
,,,Heat the teaspoon of oil in a large pan over medium heat.
,,,Add the garlic and cook for 30 seconds.
,,,Add the honey sauce mixture and bring to a simmer.
,,,Cook for 3-4 minutes or until just thickened.
,,,Add the crispy chicken to the pan and toss to coat with the sauce.
,,,"Sprinkle with sesame seeds and green onions, then serve."
475,plank steak,https://www.simplyrecipes.com/recipes/grilled_marinated_flank_steak/,Marinate the steak: Combine the marinade ingredients in a large non-reactive bowl.
,,,Place steak in the bowl and turn so that it is completely coated with the marinade.
,,,(You can also place the steak and marinade in a freezer bag and place it in a bowl.
,,,Chill and marinate for at least 2 hours and up to overnight.
,,,"Prepare your grill for high, direct heat with one part of the grill for lower, indirect heat."
,,,The grill is hot enough when you hold your hand about an inch over the hot side and you can only hold it there for about a second.
,,,"Grill the steak: Remove the steak from the marinade and gently shake off the excess marinade from the steak (but make sure there is still a coating of it, you'll want the oil on it to help keep the steak from sticking to the grill)."
,,,"If you want, sprinkle generously on all sides with coarse salt and freshly ground pepper."
,,,The salt and pepper will help form a savory crust on the steak.
,,,Place steak on the hot side of the grill.
,,,"Grill for a minute or two on each side to get a good sear, then move the steak to the cooler side of the grill, cover and cook a few minutes more until done to your liking."
,,,How do you know when the steak is done? One way to tell is to poke it with your fingertips.
,,,"While the steak is still raw, test it with your fingers; it will be quite squishy."
,,,That's what a very rare steak feels like.
,,,Touch the tip of your nose and that's what a very well done steak feels like.
,,,"Here's a visual guide, the finger test to check the doneness of steak."
,,,Otherwise use a good meat thermometer (I recommend a thermapen.
,,,")  Pull the steak off the grill at 120 to 125°F for rare, 130-140°F for medium rare, and 145°F for medium."
,,,"Rest the steak: When the steak has cooked to your preferred level of doneness, remove from the grill and place on a cutting board."
,,,Cover with aluminum foil to hold in the heat while the steak rests for 10 to 15 minutes.
,,,Slice across the grain: Notice the direction of the muscle fibers of the steak; this is called the grain of the meat.
,,,Flank steak is a very lean cut that will be tough and chewy unless you cut it in a way that breaks up the muscle fibers.
,,,"So, cut the steak across the grain of the meat, at a steep diagonal, so that the slices are wide."
,,,"I find it easiest to use a long serrated bread knife for this, but any long sharp knife will do."
,,,"If you want, you can take the excess marinade and bring it to a boil, simmer for several minutes, and serve with the flank steak."
,,,Great also with salsa or horseradish sauce.
478,sauerbraten,https://www.daringgourmet.com/authentic-german-sauerbraten/,"Prepare the Marinade:  Place all of the veggies and herbs in a heavy stock pot or Dutch oven along with the garlic, juniper berries, whole cloves, bay leaves, salt, sugar and peppercorns."
,,,"Add the red wine, red wine vinegar and water."
,,,"Bring the mixture to a boil, reduce the heat, cover and simmer for 10 minutes."
,,,Turn off the heat and let the mixture cool down completely.
,,,Marinate the Meat:  Nestle the roast in the vegetable marinade and place the lid on the pot.
,,,"Let it marinate in the fridge for at least 4 days, preferably 7."
,,,"(Traditionally, the marinating time is as long as 2 weeks!) Unless the meat is completely submerged under the liquid, turn the roast over once every day."
,,,"Remove the roast, pat it dry with paper towels, and strain the liquid from the vegetables."
,,,Reserve the liquid and the vegetables.
,,,Cook the Roast:  Rinse the pot out and heat a tablespoon or two of oil in it over high heat.
,,,Generously brown the roast on all sides.
,,,Remove the roast and set aside.
,,,"If using bacon, cook the bacon until done."
,,,Leave about 2 tablespoons of oil/fat in the pot.
,,,Place the strained vegetables in the pot (with the bacon if using) and cook for 5-7 minutes.
,,,"Stir in the flour, cooking the mixture for a minute or two to eliminate the flour flavor."
,,,"Add the liquid that you strained from the vegetable marinade, bring it to a boil, stirring constantly to prevent lumps."
,,,"Add the raisins, honey and crushed ginger snaps."
,,,Return the roast to the pot.
,,,"Bring to a boil, reduce the heat to low, cover and simmer for about 2 hours (may need less or longer depending on roast and marinating time) or until the meat is very tender."
,,,(Important Note: The longer you let the roast marinate the faster it will cook because the meat will be more tender from the start.
,,,So check on your roast periodically for doneness.)
,,," When the roast is done, remove and transfer it to a plate, tent it to keep warm, and let it rest for 5 minutes before slicing."
,,,"Prepare the Gravy:  While the roast is resting, strain the gravy and return the gravy to the pot."
,,,"Taste and more sugar, salt and pepper as desired."
,,,"If you want your gravy thicker, make a cornstarch slurry to thicken the gravy."
,,,(Note:  The balance of sour to sweet is a matter of personal taste - adjust the flavor according to your preference.)
,,,"If the flavor is too strong for you, you can dilute it with a little water or broth."
,,,Spoon the gravy over the sliced Sauerbraten and serve immediately.
,,,"Serve with Homemade German Rotkohl and boiled potatoes, Homemade German Spätzle, Semmelknödel or Kartoffelklöße."
,,,A few parts of Germany even serve it with Homemade Kartoffelpuffer.
505,barbecued spareribs,https://www.tasteofhome.com/recipes/barbecued-spareribs/,"In a Dutch oven, place ribs and onion; sprinkle with salt and pepper."
,,,Add enough water to cover ribs; bring to a boil.
,,,Reduce heat; cover and simmer for 1-1/2 hours or until meat is tender; drain.
,,,"Meanwhile, in a small saucepan, combine sauce ingredients."
,,,"Simmer, uncovered, for 1 hour or until slightly thickened, stirring occasionally."
,,,Arrange ribs on a rack in a broiler pan.
,,,Brush with sauce.
,,,Broil 5 in.
,,,"from the heat for 5 minutes on each side, brushing frequently with sauce."
510,hamburgers,https://www.thewholesomedish.com/the-best-classic-burger/,Preheat the grill to 375 degrees F (medium-high).
,,,"In a large bowl, add the beef."
,,,"Sprinkle evenly with the Worcestershire sauce, seasoning salt, garlic powder, and pepper."
,,,Use your hands to mix the ingredients until they are just combined.
,,,Divide the meat mixture into fourths.
,,,Take 1/4 of the meat mixture and use your hands to press it into the shape of a hamburger patty that is about 3/4 inch thick.
,,,Make an indention in the middle of the patty to prevent bulging in the center of the hamburger as it cooks.
,,,"Repeat with the remaining meat mixture, making 4 hamburgers."
,,,Place the burgers on the grill.
,,,Cook 4-5 minutes on the first side.
,,,"Flip the burgers over and cook an additional 4-5 minutes, until the burgers have reached the desired doneness."
,,,"If adding cheese, lay a slice of cheese on each burger patty about 1 minute before taking the burgers off the grill, so the cheese has a chance to melt."
,,,Serve the burgers on hamburger buns with optional hamburger toppings.
511,becker lamb patties,https://www.allrecipes.com/recipe/236679/lamb-burgers/,Preheat grill for medium heat and lightly oil the grate.
,,,"Thoroughly mix ground lamb, rosemary, thyme, garlic powder, salt, and pepper together in a bowl; shape into 4 patties."
,,,"Cook the burgers until they are beginning to firm and are hot and slightly pink in the center, about 5 minutes per side."
,,,An instant-read thermometer inserted into the center should read 140 degrees F (60 degrees C).
,,,"Alternately, you can cook the burgers to your desired degree of doneness."
,,,Rest burgers while assembling toppings.
,,,Mix mayonnaise and mustard together in a small bowl; spread 1 tablespoon of the mixture onto one side of each bun.
,,,Put a burger onto each bun and top with tomato and greens.
,,,Sandwich with remaining bun half to serve.
511,ground meat patties,https://www.thecandidappetite.com/ground-beef-patties-2-ways/,"In a large bowl, gently combine the ground beef, bread crumbs, egg, salt, pepper, onion, parsley, garlic, paprika and Worcestershire sauce until well incorporated."
,,,Do not over-mix or you'll end up with dry tough beef patties.
,,,"Divide the mixture evenly into 6 portions, and then shape each portion into a patty about ½-inch thick."
,,,Set a large skillet over medium-high heat with the butter and oil.
,,,"Once melted, carefully add in two or three patties, depending on the size of your pan."
,,,You don't want to crowd the pan too much or else the meat won't brown evenly.
,,,You'll most likely have to cook them in batches.
,,,"Cook patties until a thermometer reads 160°, and juices run clear, 4-5 minutes on each side."
,,,Transfer to a plate and tent loosely with a piece of aluminum foil to keep them warm while you continue cooking the rest.
,,,"When the patties are done and while they're resting, proceed with making either sauce."
,,,"To make the mushroom gravy, wipe out the skillet with a paper towel and set over moderate heat."
,,,"Add the butter and the mushrooms, stirring often, and cooking until the mushrooms have begun to brown."
,,,"Season with a pinch of salt, pepper and the fresh thyme."
,,,Add the shallot and garlic and cook for another minute or so to soften.
,,,Stir in the flour and cook for about 30 seconds.
,,,Slowly stir in the stock and cook over low heat until it has thickened.
,,,Season with Worcestershire sauce and a large pinch of salt and pepper.
,,,Give it a taste and adjust seasoning accordingly.
,,,Serve the patties by spooning the gravy over them and garnishing with fresh chives.
,,,"You can serve with roasted potatoes, mashed potatoes or even rice! To make the tomato onion sauce, combine all of the ingredients in a medium saucepan and set over moderate heat."
,,,Bring up to a boil and then reduce heat to a simmer.
,,,"Cook until the tomatoes and onions have softened and the sauce has reduced and thickened slightly, about 10 minutes."
,,,Serve the patties by spooning the sauce over them.
,,,You can serve with rice or mashed potatoes! Enjoy!.
535,corn bread stuffing with sausage and bell peppers,https://www.foodnetwork.com/recipes/andouille-sausage-and-pepper-cornbread-stuffing-3416229,Preheat the oven to 350 degrees F.
,,,Butter a 9-by-13-inch baking dish.
,,,"In a large skillet set over medium-high heat, melt 3 tablespoons of the butter."
,,,"Add the sausage and saute until browned, 5 minutes; transfer to a mixing bowl to cool."
,,,"Melt the remaining 3 tablespoons butter in the same skillet and add the celery, onions and bell peppers."
,,,"Cook, stirring, until fragrant and softened, about 5 minutes."
,,,"Stir in the thyme, salt and pepper and cook for 1 more minute."
,,,"Add the chicken broth and scrape up any brown bits that have formed on the bottom of the skillet, cooking for an additional minute."
,,,Remove from the heat and cool slightly.
,,,"In a large mixing bowl, combine the cornbread stuffing and cooled veggies and sausage."
,,,Add the eggs and mix well.
,,,Transfer the mixture to the prepared baking dish.
,,,"Bake until golden brown on top, 30 to 35 minutes."
,,,Let cool 5 to 10 minutes before serving.
537,sausage dressing,https://www.onceuponachef.com/recipes/sausage-herb-stuffing.html,Preheat the oven to 350°F.
,,,Grease a 9 x 13-inch baking dish with butter.
,,,Place the stuffing cubes in a large mixing bowl.
,,,"In a large sauté pan, melt the butter."
,,,"Add the onions and celery and cook over medium heat, stirring occasionally, for about 8 minutes, or until the vegetables are soft."
,,,Add the garlic and cook 2 minutes more.
,,,Add the vegetables to the stuffing cubes.
,,,"(Don't wash the pan but scrape out every last bit of vegetables, otherwise they will burn in the next step."
,,,") In the same pan, cook the sausage over medium heat for 8-10 minutes, until browned and cooked through, breaking up the sausage with a metal spatula while cooking (the largest pieces should be no greater than 1/4-inch)."
,,,Add the browned sausage and fat to the bread cubes and vegetables.
,,,"Add the chicken broth, egg, rosemary, sage, parsley, salt and pepper to the bread cube mixture and mix until the bread is soft and moistened."
,,,"Transfer the stuffing to the prepared baking dish and bake for 65-75 minutes, uncovered, until deeply golden and crisp on top."
568,becker cocktail sauce,http://www.curiouswalkabout.com/recipes/?p=print&recipe=619,"In a small bowl, mix together the catsup, chili sauce and horseradish."
,,,Add optional add-ins.
,,,(I prefer the lemon zest and juice.)
,,, Serve with shrimp.
581,watercress mayonnaise,https://www.bbcgoodfood.com/recipes/watercress-mayonnaise,Mix together 1 tbsp each lemon juice and white wine vinegar.
,,,"In a measuring jug, mix 100ml olive oil and 200ml groundnut or vegetable oil."
,,,"In a food processor, whizz 2 egg yolks with 1 heaped tsp Dijon mustard and a generous pinch of salt until fully mixed."
,,,"With the processor still running, add a few drops of the oil mix, incorporating each drop before adding the next."
,,,Now very slowly drizzle the oil in – the mayo should begin to thicken and then stiffen.
,,,"If the mixture looks too thick, add 1 tsp of your lemon/vinegar mix."
,,,"Keep adding the oil in the same way, alternating with 1 tsp at a time of the lemon/vinegar mix, until all the oil is incorporated and the mayo is the required consistency."
,,,Now whizz in ½ small crushed garlic clove.
,,,"Whizz a 75g bag watercress, leaves and stalks, with the mayo and season."
,,,"Add a little warm water, lemon juice or vinegar to loosen, if needed."
,,,Chill and use within 1 day – great with poached salmon.
586,teriyaki marinade,https://www.allrecipes.com/recipe/15789/teriyaki-marinade/,"In a medium bowl, mix the soy sauce, water, sugar, Worcestershire sauce, vinegar, oil, onions, garlic powder, and ginger."
,,,Stir together until sugar dissolves.
,,,Voila - marinade!.
589,mediterranean garlic herb paste,http://www.ucook.com/Recipes/RecipeFull.aspx?RecipeID=24933,"Combine in a blender or food processor and coarsely puree, leaving the mixture a little chunky:."
,,,Cover and refrigerate until ready to use.
,,,"This paste will keep, covered and refrigerated, for up to 1 week."
600,oat bread cockaigne,http://www.ucook.com/Recipes/RecipeFull.aspx?RecipeID=31002,Scald: 2 cups milk and pour it over: 1 cup rolled oats.
,,,Add: 2 teaspoons salt 1/4 cup vegetable oil 1/2 cup brown sugar (1/2 teaspoon ground ginger).
,,,Cool this mixture to lukewarm.
,,,Combine: 1/4 cup 105°-115° water 2 packages active dry yeast.
,,,"Add the yeast solution to the oats, plus: 1 or 2 slightly beaten eggs 1/4 to 1/2 cup wheat germ 1 cup soy flour 2 cups whole wheat or rye flour 3 to 4 cups sifted unbleached all-purpose flour."
,,,"To knead, proof and shape, follow the arrow symbols and illustrations on 600 and 601, allowing the dough to rise once in the mixing bowl and once in the baking pans."
,,,Bake in a preheated 350° oven about 1 hour.
605,white bread made with a mixed starter,https://www.friendshipbreadkitchen.com/basic-white-amish-friendship-bread/,"In a small bowl, dissolve the yeast and ¼ teaspoon sugar in the warm water."
,,,"Set aside until foamy, about 10 minutes."
,,,"In a large bowl, combine yeast mixture, starter, milk, kosher salt, oil and 2 cups of the bread flour."
,,,Stir with a wooden spoon until well combined.
,,,Add enough of the remaining flour to form a soft dough that pulls away from the sides of the bowl.
,,,"Turn the dough out onto a lightly floured surface and knead until smooth and elastic, about 6-8 minutes."
,,,Add flour if needed.
,,,"Grease a large bowl and place the dough in it, turning the dough to grease all sides."
,,,"Cover the bowl with plastic wrap and allow the dough to rise in a warm place until doubled, about 1½ to 2 hours, depending on how warm it is in your kitchen."
,,,Grease a 9×5-inch loaf pan.
,,,Gently punch down the dough and turn it out onto a lightly-floured surface.
,,,Pat the dough into a rectangular shape.
,,,Fold one short end (⅓) of the dough toward the center and gently press the seam with the side of your hand.
,,,"Repeat with the other ⅓ of the dough, bringing it to the center and pressing as before."
,,,"Fold the dough in half and lightly press the edges together to seal the seam, then press each end of the dough to seal the ends and tuck them under."
,,,Transfer the dough to the prepared pan and gently press down the dough with your hand to make it even all the way across.
,,,"Cover the pan lightly with plastic wrap and let the dough rise until it is slightly above the rim of the pan, about 30-45 minutes."
,,,"Don't let it rise beyond 1"" of the edge or it will collapse when it bakes."
,,,"When the dough is almost to the top edge of the loaf pan, preheat the oven to 350° F (176° C). "
,,,Remove plastic wrap and bake for 35-40 minutes or until the bread is light golden brown and the bottom sounds hollow when tapped. 
,,,"If a soft top crust is desired, lightly brush the top crust with a little melted butter. "
,,,Turn the bread out of the pan and place on a wire rack to cool for least 30 minutes before slicing. 
,,,Makes 1 (9×5-inch) loaf. 
,,,ENJOY!
623,kugelhopf,https://www.epicurious.com/recipes/food/views/kugelhopf-106380,"Stir together yeast and water in a small bowl and let stand until foamy, 5 to 10 minutes."
,,,"(If mixture doesn't foam, discard and start over with new yeast.)"
,,,"Heat milk with 6 tablespoons butter and granulated sugar over low heat, stirring, until mixture is warm (105 to 115°F), butter is melted, and sugar is dissolved."
,,,Sift together flour and salt into bowl of standing mixer.
,,,Make a well in flour and add yeast mixture.
,,,"Add warm milk in a slow stream, mixing at low speed with paddle attachment."
,,,"Increase speed to medium and beat in eggs 1 at a time, then beat in raisins and zest."
,,,"Continue to beat until dough is smooth and elastic, about 5 minutes."
,,,(Dough will be very sticky.)
,,,  Butter kugelhopf mold with remaining tablespoon butter.
,,,"Put 1 almond in each depression in bottom of mold (the almonds are only decorative; you can skip them altogether if your mold has no depressions), then scrape spoonfuls of dough evenly into mold (dough will be very elastic)."
,,,"Cover top of mold with oiled plastic wrap and a kitchen towel and let dough rise in a warm place until it fills pan, about 2 hours."
,,,Preheat oven to 400°F.
,,,Remove towel from kugelhopf and gently peel off plastic wrap.
,,,"Bake kugelhopf in middle of oven 15 minutes, then loosely cover mold with foil and continue to bake until golden and a tester inserted in center comes out clean, 20 to 25 minutes more."
,,,"Cool in pan 2 minutes, then invert cake onto a rack to cool completely, about 1 hour."
,,,Dust with confectioners sugar.
627,nut bread,https://www.allrecipes.com/recipe/56590/lauris-yummy-nut-bread/,Preheat the oven to 350 degrees F (175 degrees C).
,,,Grease two 9x5 inch loaf pas.
,,,"In a large bowl, stir together the sugar, eggs, vegetable oil and vanilla until smooth using a wooden spoon."
,,,"Combine the flour, baking soda, salt and cinnamon; stir into the sugar mixture alternately with the buttermilk just until mixed."
,,,Stir in the walnuts.
,,,Divide the batter evenly between the two pans.
,,,"Bake for 55 minutes in the preheated oven, until a toothpick inserted into the crown comes out clean."
,,,"Allow the bread to cool for about 10 minutes before removing from the pans, and wrap in aluminum foil."
635,muffins,https://sallysbakingaddiction.com/master-muffin-recipe/,Preheat oven to 425°F (218°C).
,,,Spray a 12-count muffin pan with nonstick spray or line with cupcake liners.
,,,Set aside.
,,,"In a large bowl, whisk the flour, baking powder, baking soda, cinnamon, and salt together."
,,,Set aside.
,,,"In a large bowl using a handheld or stand mixer fitted with a paddle attachment, beat the butter on high speed until smooth and creamy, about 1 minute."
,,,"Add the brown sugar and beat on high until creamed, about 2 full minutes."
,,,Scrape down the sides and bottom of the bowl as needed.
,,,"Add the eggs, sour cream, and vanilla extract."
,,,"Beat on medium speed for 1 minute, then turn up to high speed until the mixture is combined."
,,,Scrape down the sides and bottom of the bowl as needed.
,,,Pour the dry ingredients into the wet ingredients and beat on low speed until just about combined.
,,,Add the milk and continue to beat on low until combined.
,,,"Spoon the batter evenly into each cup or liner, filling each all the way to the top."
,,,"Bake the muffins for 5 minutes at 425 then, keeping the muffins in the oven, reduce the oven temperature to 350°F (177°C)."
,,,Bake for an additional 15-18 minutes or until a toothpick inserted in the center comes out clean.
,,,"The total time these muffins take in the oven is about 22-23 minutes, give or take."
,,,"Allow the muffins to cool for 5 minutes in the muffin pan, then transfer to a wire rack to continue cooling."
,,,"Glazed muffins stay fresh stored in the refrigerator for 1 week, unglazed muffins stay fresh stored at room temperature for a few days– then transfer to the fridge for up to 1 week."
638,rolled biscuits,https://www.tasteofhome.com/recipes/rolled-buttermilk-biscuits/,Preheat oven to 450°.
,,,"In a large bowl, combine the flour, baking powder, baking soda and salt; cut in butter until mixture resembles coarse crumbs."
,,,Stir in enough buttermilk just to moisten dough.
,,,Turn onto a lightly floured surface; knead 3-4 times.
,,,Pat or roll to 3/4-in. thickness.
,,,Cut with a floured 2-1/2-in. biscuit cutter.
,,,Place in a large ungreased cast-iron or other ovenproof skillet.
,,,Brush with milk.
,,,"Bake until golden brown, 12-15 minutes."
658,"fritter batter for vegetables, meat, and fish",https://delishably.com/vegetable-dishes/How-to-Make-Corn-or-Zucchini-Fritters-A-Good-Basic-Fritter-Batter-Recipe,"Mix together the dry ingredients in one bowl, and in another bowl, beat the eggs and then pour in the milk."
,,,Add the dry ingredients to the wet ingredients and then whisk to combine until lump free.
,,,This makes enough batter to fritter up 4 or 5 cups of vegetables.
,,,To proceed finely chop your vegetables and transfer to a bowl.
,,,"Add in any additional seasonings as desired (chili powder is good for corn, mint is good for zucchini, etc."
,,,) and then pour on enough fritter batter to just coat the vegetables.
,,,"To fry, heat a heavy skillet over medium and add in about an inch of oil."
,,,"When the oil is hot, spoon in a few spoonfuls of fritter batter with vegetables and fry until golden brown and cooked through, turning once—this should take 2 or 3 minutes per side."
,,,"Do not overcrowd* the pan, fry in batches until done."
670,elephant ears,https://www.allrecipes.com/recipe/20989/elephant-ears/,"In small saucepan over medium heat, combine milk, salt, 2 tablespoons sugar and shortening."
,,,Heat until shortening melts and sugar dissolves.
,,,"Remove from heat and let cool to lukewarm, 110 degrees F (43 degrees C)."
,,,Sprinkle in yeast and let sit until foamy.
,,,"Transfer mixture to large bowl, and stir in flour to make a dough."
,,,"Knead until smooth, cover and let rise 30 minutes."
,,,"In a large heavy skillet or deep fryer, heat 1 inch of oil to 375 degrees F (190 degrees C)."
,,,Roll out 1 to 2 inch balls of dough into thin sheets.
,,,"Fry sheets 1 to 2 minutes on a side, until puffed and golden."
,,,Drain on paper towels.
,,,Combine cinnamon and 6 tablespoons sugar.
,,,Sprinkle over warm pastries.
,,,Serve.
680,strawberry rhubarb pie,https://sallysbakingaddiction.com/strawberry-rhubarb-pie/,The crust: Prepare my pie crust recipe through step 5.
,,,"Make the filling: Stir the rhubarb, strawberries, brown sugar, granulated sugar, cornstarch, salt, orange juice, and vanilla extract together in a large bowl."
,,,Set filling aside as the oven preheats.
,,,Preheat oven to 400°F (204°C).
,,,"Roll out the chilled pie dough: On a floured work surface, roll out one of the discs of chilled dough (keep the other one in the refrigerator)."
,,,Turn the dough about a quarter turn after every few rolls until you have a circle 12 inches in diameter.
,,,Carefully place the dough into a 9×2 inch pie dish.
,,,"Tuck it in with your fingers, making sure it is smooth."
,,,"Spoon the filling into the crust, leaving all of the excess liquid in the bowl (you don’t want that in the filling– discard it)."
,,,Dot the pieces of butter on top of the filling.
,,,Arrange the lattice: Remove the other disc of chilled pie dough from the refrigerator.
,,,Roll the dough into a circle that is 12 inches diameter.
,,,"Using a pastry wheel, sharp knife, or pizza cutter, cut strips 1/2 – 1 inch wide."
,,,"Carefully thread the strips over and under one another, pulling back strips as necessary to weave."
,,,Press the edges of the strips into the bottom pie crust edges to seal.
,,,Use a small knife to trim off excess dough.
,,,"Crimp the edges with a fork, if desired."
,,,"(Alternatively, you can simply cover the filling with the 12-inch pie dough circle."
,,,Cut slits in the top to form steam vents.
,,,Trim and crimp the edges.
,,,Or a crumble or streusel topping would be great.)
,,,Lightly brush the top of the pie crust with the egg/milk mixture.
,,,"Sprinkle the top with a little coarse sugar, if desired."
,,,Place the pie onto a large baking sheet and bake for 20 minutes.
,,,"Keeping the pie in the oven, turn the temperature down to 350°F (177°C) and bake for an additional 25-30 minutes."
,,,"After the first 20 minutes of bake time, I place a pie crust shield on top of the pie to prevent the edges from browning too quickly."
,,,Allow the pie to cool for 3 full hours at room temperature before serving.
,,,This time allows the filling to thicken up.
