page number,1st recipe on page,1st google search result,instructions
,,,Cover leftovers tightly and store in the refrigerator for up to 5 days.
692,apple or fruit crisp,https://www.thechunkychef.com/old-fashioned-easy-apple-crisp/,Preheat oven to 350 F degrees.
,,,"Butter an 8x8 baking dish, or spray with non-stick cooking spray."
,,,Set aside.
,,,"In a mixing bowl, add chopped apples, granulated sugar, 3/4 tsp of the cinnamon and lemon juice."
,,,"Stir to combine, then transfer to prepared baking dish."
,,,"In a separate mixing bowl, add topping ingredients (brown sugar, oats, flour, 1 tsp cinnamon, salt, and diced cold butter)."
,,,"Use a pastry cutter to cut the butter into the oat mixture, using a slight downward twisting motion, until mixture resembled pea-sized crumbs."
,,,"Alternatively, you can use two forks or even your hands to cut butter into the mixture."
,,,"Spread topping over apples in baking dish, and gently pat to even it out."
,,,"Bake 40-50 minutes, until golden brown and bubbly."
,,,Serve warm and enjoy!.
706,coffee-flecked angel cake,https://www.marthastewart.com/1530660/chocolate-angel-food-cake-double-chocolate-frosting,Cake: Preheat oven to 350 degrees.
,,,"Whisk together cake flour, cocoa, espresso powder, and salt."
,,,"In the bowl of an electric mixer fitted with the whisk attachment, beat egg whites on medium speed until frothy."
,,,Add cream of tartar and increase speed to high.
,,,"Continue beating while gradually adding sugar until stiff peaks form, 3 to 4 minutes."
,,,Beat in vanilla.
,,,Remove bowl from mixer.
,,,"Add half the flour mixture and gently fold in until streaky, then add remaining flour mixture and fold in until well incorporated (do not overmix, as this will deflate the meringue, creating a dense cake)."
,,,Gently spoon batter into an ungreased 9 1/2-inch tube pan with removable bottom; smooth top.
,,,Run a knife or small spatula through batter to release air bubbles.
,,,"Bake until a tester inserted into center comes out clean, about 40 minutes."
,,,Invert pan; let cake cool completely in pan.
,,,Run a knife around the inner and outer perimeter of the pan to loosen.
,,,Use knife to release cake from bottom of pan and remove.
,,,Frosting: Place both chocolates in the bowl of a stand mixer; set aside.
,,,"In a small saucepan, bring cream and corn syrup to a boil."
,,,Pour over chocolate; let stand 2 to 3 minutes.
,,,"Whisk, starting in center and working outward, until chocolate is smooth."
,,,"Let cool at room temperature, whisking occasionally, about 30 minutes."
,,,"Attach bowl to stand mixer fitted with the whisk attachment and beat on medium speed, gradually adding butter, until frosting is smooth and silky."
,,,"Using a serrated knife, split cake in half horizontally."
,,,Place bottom layer on a cake plate.
,,,Measure 2 cups frosting and spread evenly with an offset spatula.
,,,Top with second layer.
,,,"Use remaining frosting to cover cake completely, using spatula to create a smooth finish or create swirls."
,,,"Garnish with chocolate shavings, if desired."
,,,Serve immediately.
709,genoise,https://www.allrecipes.com/recipe/7590/genoise/,Preheat oven to 350 degrees F (175 degrees C).
,,,Grease one 8 inch round cake pan.
,,,Line with parchment paper and grease it as well.
,,,Lightly flour pan and paper.
,,,"Sift together the flour, 2 tablespoons sugar, and salt onto a piece of wax paper."
,,,Place the eggs into a mixing bowl set over a pan of hot (not boiling) water.
,,,"Add the 1/2 cup sugar to the eggs and whisk until the mixture feels warm (not hot) to the touch, about body temperature."
,,,Place the bowl onto a mixer and beat on medium speed until the mixture becomes pale yellow in color and falls off the end of the whisk attachment in long ribbons.
,,,Add the vanilla.
,,,Add about 1/3 of the flour mixture to the beaten egg and fold in.
,,,"Continue to add the remainder of the flour, folding it in each time."
,,,Place about 1 cup of the batter into the bowl containing the melted butter and combine the butter with the batter.
,,,Add this back to the main batter and fold it in.
,,,Pour the batter into the prepared pan.
,,,Immediately bake at 350 degrees F (175 degrees C) for about 25 minutes or until the top is a light brown.
,,,Cool in pan on a rack about 10 minutes and then invert onto a rack.
,,,It is best to invert it again onto another rack so that it cools with the top up.
,,,Let cool completely before cutting or frosting.
723,mississippi mud cake,https://www.food.com/recipe/mississippi-mud-cake-67117,Preheat oven to 350°F.
,,,Lightly grease a 9x13 inch pan.
,,,Melt the butter in a medium saucepan.
,,,Add the cocoa and stir.
,,,Remove from the heat.
,,,Pour butter mixture into a mixing bowl and add sugar and eggs.
,,,Mix until blended.
,,,Add the vanilla.
,,,Mix in the flour and salt.
,,,Stir in the pecans.
,,,Put batter into prepared pan and cook for 35 minutes or until done.
,,,Remove from oven and sprinkle with marshmallows.
,,,Cool in the pan on a wire rack.
,,,For the frosting: Combine all of the ingredients and mix until smooth.
,,,Spread frosting on cooled cake.
,,,"If your frosting is too thick, add more milk."
727,almond torte cockaigne,https://healthyrecipes.fandom.com/wiki/Almond_Torte_Cockaigne,Preheat the oven to 325 degrees.
,,,"Grease and flour the bottoms of two 8 x 2"" round pans or one 8"" springform pan, or line the bottoms with wax or parchment paper."
,,,Finely grind the almonds and set aside.
,,,"In the bowl of a stand mixer fitted with the paddle attachment, beat the egg yolks and 3/4 cup sugar on high speed until thick and pale, about 2 minutes."
,,,"Stir in the almonds along with the breadcrumbs, cinnamon, almond extract, zest and the juice of the lemon (or orange)."
,,,"In another large bowl, beat the egg whites and cream of tartar on medium speed until soft peaks form."
,,,Gradually add the remaining 1/4 cup sugar and beat on high speed until stiff peaks form.
,,,"Use a spatula and fold in a quarter of the egg whites into the almond mixture, then fold in the remaining whites."
,,,Scrape the batter into the pan(s) and spread evenly.
,,,Bake until a toothpick comes out clean - about 20 minutes in round pans and 40 - 45 minutes in a springform pan.
,,,Let cool completely in the pan(s) on a rack; the center will sink as it cools.
,,,Slide a slim knife around the torte to detach it from the pan(s).
,,,Level and invert the torte before frosting.
,,,"Or, if using a springform, remove the pan side, invert, remove the paper liner (if using), and serve right side up sprinkled with confectioners sugar."
730,filled angel chiffon or sponge cake,https://www.kingarthurbaking.com/recipes/chiffon-cake-recipe,To make the cake: Place a rack in the lower third of the oven and preheat to 325°F.
,,,"Have on hand an ungreased 10"" tube or angel food cake pan."
,,,"If you're using two 9"" round ungreased cake pans, place the oven's rack in the center."
,,,"In a large mixing bowl, beat the egg whites with the cream of tartar until foamy."
,,,Gradually add 1/2 cup (99g) of the sugar and continue beating until stiff and glossy.
,,,Set aside.
,,,"In a medium bowl, whisk together the remaining 1 cup (198g) sugar with the flour, baking powder, and salt."
,,,"In a large mixing bowl using a whisk attachment, beat the oil, reserved egg yolks, and extracts until pale yellow. Add the dry ingredients in thirds, alternating with the milk, beating at medium speed for 2 to 4 minutes."
,,,Gently fold in the whipped egg whites with a whisk just until the batter is uniform. Scrape the bottom of the bowl to ensure the batter is evenly mixed.
,,,Pour the batter into the prepared pan.
,,,Bake for 50 minutes.
,,,"Increase the oven temperature to 350°F and bake for 10 minutes more, until a gentle touch on the center of the cake leaves no indent; if you listen carefully, the cake should make a crackling sound."
,,,"For round pans, bake for 40 minutes at 325°F, then 10 minutes more at 350°F."
,,,Remove from the oven and invert the tube pan over the neck of a wine bottle for 30 minutes.
,,,"For round pans, place them upside down on a rack to cool."
,,,"After 30 minutes, use a thin-bladed flexible spatula to free the cake from the sides and tube of the pan. Turn the cake out onto a serving plate to finish cooling completely."
,,,"To make the Chantilly cream: Place all the ingredients in a large, chilled mixing bowl."
,,,Beat until the mixture holds soft peaks.
,,,Spread over the cooled cake.
,,,"Cake layers, well-wrapped, will keep for two days at room temperature, and frozen for up to three months."
,,,"Decorated cakes can be stored in the refrigerator for up to five days, or frozen for up to three months."
736,chiffon cake sheet,https://www.tastesoflizzyt.com/strawberry-chiffon-sheet-cake/,Preheat oven to 400º Fahrenheit.
,,,"Spray a 10×15"" jelly roll pan with non-stick cooking spray or line with parchment paper."
,,,Set aside.
,,,"In a bowl, whisk together flour, baking powder and salt."
,,,Set aside.
,,,In another bowl beat your egg whites (using a hand or stand mixer) until foamy.
,,,Then gradually add in 1/2 cup sugar and continue beating until stiff peaks form.
,,,In another bowl beat your egg yolks together with your remaining sugar until it starts to thicken.
,,,Slowly beat in your flour mixture (this will be stiff).
,,,"Mix just until combined, scraping the sides of the bowl as needed."
,,,"Stir in about 1 cup of egg whites to loosen the mixture up a bit then fold in remaining egg whites. Fold until completely blended, but be sure to do it gently."
,,,Spread onto prepared pan and bake for about 13-15 minutes or until top springs back when touched.
,,,Set aside to cool completely.
,,,"Once the cake is cool, spread strawberry preserves (use as much as you'd like) over the top of cake. Then spread your whipped topping over the top of that."
,,,Sprinkle with diced strawberries.
,,,Store in the refrigerator.
781,brandy snaps,https://www.thepioneerwoman.com/food-cooking/recipes/a9793/brandy-snaps/,Preheat oven to 325 degrees.
,,,Line a cookie sheet with a baking mat or parchment paper.
,,,"To make the cookies/shells, melt butter in a skillet with molasses, sugar, and brown sugar over medium heat, stirring constantly with a wooden spoon."
,,,"Allow to bubble and cook for one minute, then turn off heat."
,,,"Dump in flour, ginger, and salt."
,,,"Stir together quickly until just combined, then stir in brandy."
,,,"Use a tablespoon to spoon mixture onto cookie sheet; do only eight cookies per sheet, as they will spread out in the oven."
,,,"Bake for 10 minutes, or until bubbling in the oven."
,,,Remove cookie sheet from oven and allow to cool on the pan for 2 to 3 minutes.
,,,Lift up circles one at a time and drape them over a cannoli mold (or a large metal handle of a whisk or potato masher!)
,,,The cookies will naturally drape over the mold; help it along by pressing the seal.
,,,Slide cookies off the mold and set them on a cool plate.
,,,Repeat with remaining cookies.
,,,Be prepared to slightly reshape cookies as they cool.
,,,Fill with cream filling when completely cool.
,,,"For filling, combine cream, sugar, and brandy (make sure cream is very cold.)"
,,,Place into a cold mixing bowl (chill ahead of time) and mix on high until cream is very stiff.
,,,Place cream into a pastry bag fitted with a large tip.
,,,Carefully fill cooled brandy snaps.
,,,Serve within a couple of hours.
790,boiled white icing,https://www.thespruceeats.com/fluffy-white-frosting-3057726,"In a heavy saucepan, combine the water, corn syrup, sugar, and cream of tartar."
,,,Stir to blend.
,,,"Place the saucepan over medium heat, cover the pan, and bring the sugar mixture to a full rolling boil."
,,,"Remove the lid and continue boiling the syrup (without stirring) to about 242 F on a candy thermometer, or until the syrup spins a thread when a small amount is dropped from a spoon back into the boiling mixture."
,,,Remove the syrup from the heat.
,,,"Place egg whites in a clean, grease-free bowl."
,,,Beat the egg whites and a pinch of salt with an electric mixer until the egg whites begin to hold soft peaks.
,,,"Continuing beating the egg whites while gradually adding the hot syrup in a thin, steady stream."
,,,"Add the vanilla and continue beating for about 8 to 10 minutes, or until the frosting holds stiff peaks."
,,,Frost the cake immediately; the frosting will thicken more as it cools.
,,,"This makes enough to frost a large angel food cake, a 9-by-13-inch cake, or 2-layer cake."
791,fluffy nut or coconut icing,https://www.myrecipes.com/recipe/fluffy-coconut-frosting-1,"Beat cream, vanilla, and coconut extract at medium-high speed with an electric mixer 1 to 2 minutes or until foamy. "
,,,"Gradually add sugar, beating 2 minutes or until stiff peaks form. "
,,,(Do not overbeat.)
799,streusel topping,https://bakerbettie.com/classic-streusel-topping/,"In a large bowl, stir together the brown sugar, granulated sugar, all-purpose flour, cinnamon (if using), and salt."
,,,Add the pieces of cold butter into the bowl and use a pastry blender or fork to cut the butter into the mixture until it is the texture of coarse meal.
,,,You do not want it to become a cohesive dough.
,,,"Use to top muffins, coffee cakes, or in place of a top crust on a pie."
,,,This streusel topping can be made in advance and kept in an airtight container in the refrigerator for 3 days prior to using as a topping.
799,honey-bee glaze,https://www.tablespoon.com/recipes/honey-glazed-beehive-cake/f9a63a52-451e-4218-933b-4d2360b7e49e,"Make the cake: Place rack in center of oven, and preheat oven to 350° F ."
,,,"Using a pastry brush, coat both sides of a beehive mold with butter, making sure to cover all areas."
,,,"Dust mold with flour, tap out excess, and freeze until ready to use."
,,,"Sift together flour, baking powder, baking soda, salt, cinnamon, and a pinch of cloves."
,,,Cream butter and brown sugar with a mixer until pale and fluffy.
,,,Reduce the speed; drizzle in honey.
,,,Beat on high until very pale and fluffy.
,,,Add vanilla.
,,,"Add flour mixture, alternating with milk, beginning and ending with flour."
,,,Transfer batter to a large bowl.
,,,Whisk egg whites until foamy.
,,,"Add cream of tartar, and whisk until stiff, glossy peaks form."
,,,"Fold 1/3 of the egg white mixture into the cake batter, then fold in the remaining whites."
,,,"Divide batter between molds, and place them on a baking sheet."
,,,Bake for 40 minutes.
,,,"Cover with foil, and bake 15 to 20 minutes more (a tester inserted in the middle of the cake should come out clean)."
,,,"Transfer molds to a wire rack, and let the cakes cool in pans for 15 to 20 minutes."
,,,"Turn out cakes, supporting them with your hand, and place flat sides on rack."
,,,Let cool completely.
,,,"Wrap in plastic wrap, and refrigerate for at least 1 hour (or up to 1 day)."
,,,Carefully trim the flat sides of the cake halves with a serrated knife so each is level.
,,,"Align the halves to make sure they are flush, then separate."
,,,"Make the honey glaze: Bring honey, brown sugar, and butter to a boil in a small saucepan, stirring until sugar dissolves."
,,,"Add vanilla, and remove from heat."
,,,Let cool for 1 minute.
,,,Brush a coat of honey glaze on the flat side of each cake half.
,,,"Gently press halves together, and let them set upright for 5 minutes."
,,,"(If they don't stay together, place a small bowl over top to hold the 2 sides together while glaze sets.)"
,,,Carefully transfer beehive to a rack set over parchment.
,,,Spoon remaining warm honey glaze over cake until the cake is completely covered.
,,,Let stand until set.
,,,Make the sugar glaze: Bring water to a boil.
,,,"Add 1 and 3/4 cups sugar, and stir to dissolve."
,,,Remove from heat; let cool for 3 minutes.
,,,Spoon some glaze over cake.
,,,"(If too runny, add more sugar until glaze is the consistency of thick honey.)"
,,,"Pour 1/2 of the glaze over cake, letting it drizzle down the sides."
,,,"Let set for 5 minutes, then spoon remaining glaze on top."
,,,I didn't make the marzipan bees. Instead I went to the craft store and found some in the floral department.
,,,They looked better and sure weren't as time consuming as making them yourself.
,,,"But in case you are so much like Martha, then here ya go."
,,,Directions for Marzipan Bees: Add yellow gel paste to 1 portion marzipan and black get paste to the other.
,,,Knead each to incorporate.
,,,Roll each portion into a 1/8-inch diameter rope.
,,,Cut each rope crosswise into 1/8-inch slices.
,,,"Stack 5 slices together horizontally, flat sides facing, alternating colors, starting and ending with yellow."
,,,Press together gently.
,,,"For the head, roll a yellow slice into a ball, and press onto body."
,,,"For the eyes, roll 2 bits of black marzipan into balls; press onto head."
,,,"For the stinger, shape the tail piece into a slight point."
,,,"For the wings, press a sliced almond into each side of bee."
,,,Repeat.
803,flan (creme caramel),https://www.biggerbolderbaking.com/flan-creme-caramel-recipe/,Pre-heat the oven to 325°F (160°C).
,,,Arrange eight (6oz) ramekins in a deep baking pan.
,,,Fill a kettle with water and bring to a boil.
,,,Set aside to use later.
,,,Dissolve the sugar in the water and simmer until you reach a deep caramel.
,,,(Watch how to troubleshoot caramel for step-by-step instructions)
,,,"Once you've reached your desired color immediately pour the hot caramel into the bottoms of the ramekins, portioning it equally."
,,,Quickly and carefully swirl each ramekin to coat the bottom evenly.
,,,Set aside at room temperature to let the caramel harden.
,,,"Combine the milk, cream, sugar, and salt in a heavy bottomed saucepan and bring to a simmer over medium heat."
,,,Remove the pan from the heat.
,,,"In a separate large bowl, whisk the eggs, egg yolks, and vanilla together."
,,,"While constantly whisking, slowly add the hot milk mixture to the eggs."
,,,Doing this slowly is called ‘tempering’ the eggs.
,,,Strain the mixture through a fine sieve to remove any lumps.
,,,Divide the custard evenly between 8 ramekins.
,,,Pour the hot water from the kettle into the baking pan until it comes one-third of the way up the sides of the ramekins (be careful not to splash water into the custards).
,,,Bake the custards for roughly 35 minutes or until the edges are set but the centers still jiggle slightly when gently shaken.
,,,Note the custards will set firm once they have completely cooled down.
,,,(See video for notes on perfectly baked creme caramel).
,,,Carefully transfer the ramekins to a wire rack and cool completely.
,,,Cover the ramekins with cling wrap and refrigerate for at least 12 hours or up to 3 days.
,,,"To serve, run a small knife around the edge of each ramekin to loosen the custard."
,,,Quickly invert each custard onto a plate.
,,,"If it doesn’t release right away, gently shake the ramekin from side to side a few times to help it out."
,,,Serve as is in the caramel sauce that comes from the ramekin.
,,,Add a little cream and fruit if you want to go crazy.
,,,Heaven!
,,,Cover and store the flan in the fridge for up to 4 days.
804,caramel glaze,https://www.allrecipes.com/recipe/20898/caramel-frosting-vi/,"In a shallow 6-inch saucepan, thoroughly mix brown sugar and flour."
,,,"Stir in butter and milk, and cook over medium-high heat until mixture comes to a rolling boil."
,,,Boil exactly 1-1/2 minutes.
,,,Remove from heat.
,,,Allow to cool 5 minutes.
,,,Beat with a wooden spoon until mixture begins to thicken.
,,,"Mix in vanilla and continue beating until frosting is the consistency of thick honey, no more than 1 to 2 minutes."
,,,Immediately pour caramel frosting onto cooled cake and quickly spread with the back of a warm spoon before frosting begins to set up.
,,,Quickly sprinkle top of cake with toasted pecans.
,,,Frosting will set up completely in a few hours.
813,panna cotta,https://www.epicurious.com/recipes/food/views/panna-cotta-14224,In a very small saucepan sprinkle gelatin over water and let stand about 1 minute to soften.
,,,Heat gelatin mixture over low heat until gelatin is dissolved and remove pan from heat.
,,,"In a large saucepan bring cream, half and half, and sugar just to a boil over moderately high heat, stirring."
,,,Remove pan from heat and stir in gelatin mixture and vanilla.
,,,Divide cream mixture among eight 1/2-cup ramekins and cool to room temperature.
,,,"Chill ramekins, covered, at least 4 hours or overnight."
,,,"Dip ramekins, 1 at a time, into a bowl of hot water 3 seconds."
,,,Run a thin knife around edge of each ramekin and invert ramekin onto center of a small plate.
831,vanilla ice cream,https://www.tasteofhome.com/recipes/homemade-vanilla-ice-cream/,"Combine all ingredients, stirring to dissolve sugar completely."
,,,Fill cylinder of ice cream maker no more than two-thirds full; freeze according to manufacturer's directions.
,,,(Refrigerate any remaining mixture until ready to freeze.)
,,,Serve immediately or store in covered containers in freezer.
831,french vanilla ice cream,https://www.simplyrecipes.com/recipes/french_vanilla_ice_cream/,"Infuse the milk and cream with vanilla: Put the milk and 1 1/2 cups of the cream, half of the sugar, and the salt into a saucepan on medium heat."
,,,"Use the tip of a sharp knife to scrape out the tiny seeds from the vanilla beans, and stir both the seeds and the pods into the milk cream mixture."
,,,"Heat until steamy, but not simmering."
,,,"Remove from heat, cover, and let stand while the vanilla infuses, about 20 to 30 minutes."
,,,"Beat egg yolks with half of the sugar: In a medium bowl, beat together the yolks and the remaining half of the sugar."
,,,You can use a hand mixer or beat by hand using a whisk.
,,,Beat until velvety smooth and creamy.
,,,Prepare a bowl over an ice bath: Fill a large bowl half way with ice and cold water.
,,,"Set a smaller metal bowl inside of it, and place the remaining cup of cream inside to chill."
,,,Place a strainer over the smaller bowl.
,,,Set aside.
,,,Temper the eggs: Reheat the milk/cream mixture until it is just barely steamy (not boiling!).
,,,Vigorously whisk the eggs while you slowly dribble half of the milk/cream mixture into it.
,,,Pour the egg mixture into the pot with the remaining cream and milk.
,,,"Cook custard until thickened: Cook over medium high heat, stirring constantly, until the mixture thickens and coats the back of your spoon (about 180°F on an instant read thermometer)."
,,,You can run your finger in a line over the back of the coated spoon.
,,,"If the mixture doesn't run, but stays in place on the spoon, it should be thick enough."
,,,Strain the custard: Remove from heat and immediately pour the custard through the the strainer you've placed over the bowl with cream in the ice bath.
,,,"This will strain out the vanilla beans, and quickly lower the temp of the custard to stop it from cooking further."
,,,"Chill the custard: Let the custard cool completely, stirring to help chill it quickly."
,,,"Put into the refrigerator and let chill for at least an hour, preferably several hours."
,,,Process in ice cream maker: Freeze custard in an ice cream maker according to manufacturer's instructions.
,,,(Take care not to over churn the ice cream or it will get a grainy texture.)
,,,"Freeze: If you serve the ice cream immediately, it will have the consistency of soft serve ice cream."
,,,Freeze it for at least an hour in an airtight plastic container to have a firmer texture.
,,,"If it has been frozen for more than a day, you may need to let it sit at room temperature for a few minutes to soften before serving it."
,,,Serve with caramel sauce.
833,butter pecan ice cream,https://www.allrecipes.com/recipe/21105/butter-pecan-ice-cream/,"In a small skillet over medium heat, cook pecans in butter until lightly browned and fragrant, stirring constantly, about 3 to 5 minutes."
,,,Set aside.
,,,Whisk eggs in a mixing bowl; set aside.
,,,Combine brown sugar and half and half in a saucepan and mix well.
,,,Bring to a boil over medium-high heat; remove from heat.
,,,"Gradually pour hot mixture into the eggs, whisking constantly."
,,,"Return custard to saucepan and cook, stirring occasionally, until mixture coats the back of a spoon (see Editor's Note)."
,,,"Remove from heat and stir in cream, vanilla, and pecans."
,,,Pour into ice cream maker and freeze according to manufacturers' directions.
848,mocha sauce,https://www.food.com/recipe/iron-mikes-mocha-syrup-chocolate-syrup-for-espresso-drinks-112925,Boil water in a teapot or something like that.
,,,Measure Sugar and Cocoa into a two quart heat resistant pitcher (like Tupperware--this helps the transfer to a more user-friendly container later).
,,,"Once the water is boiling, measure it into the pitcher and beat with a wire whisk until everything is completely dissolved."
,,,Add the imitation vanilla; Mix thoroughly.
,,,"Let mixture cool, and transfer into some pourable/squeezable container (old ketchup bottle, old creamer container, etc--)."
,,,Use 2- 3 Tbsp Mocha Mix for a large cup O' mocha- Enjoy!
851,sour cream sauce,https://www.culturesforhealth.com/learn/recipe/cream-recipes/sour-cream-garlic-sauce/,Melt butter in a large skillet over medium-high heat.
,,,"Saute garlic in the melted butter; add flour, gradually, working it in well so that there are no lumps."
,,,"Continue to cook and stir, slowly, until the flour begins to brown."
,,,"Slowly pour in the chicken broth, and work it back and forth, adding and stirring at the same time."
,,,The sauce should begin to get thick and creamy.
,,,"Slowly pour in the chicken broth, and work it back and forth, adding and stirring at the same time."
,,,The sauce should begin to get thick and creamy.
,,,Remove sauce from heat and cool slightly before quickly whisking in the sour cream.
,,,Use the sauce immediately.
880,heavenly hash,https://thetiptoefairy.com/holiday-recipes-heavenly-hash/,Freeze the mixing bowl for 20 minutes before whipping the cream.
,,,Add 1 tablespoon of pineapple juice from the can to the whipping cream as you whip it.
,,,Stop when soft peaks form.
,,,Drain the juice for all the cans of fruit and combine in a large bowl.
,,,Add the bag of marshmallows.
,,,"Then, fold in the whipped cream."
,,,Cover and put in the fridge until ready to serve.
946,sweet-and-sour spiced gherkins,https://www.bigoven.com/recipe/sweet-sour-spiced-gherkins/605384,"Wash, then slice cucumbers 1/16 inch from the blossom ends, but leave 1/4 inch of stems on."
,,,"Combine water & salt in a bowl until salt is dissolved, then add the cucumbers."
,,,Place a plate on cucumbers to keep them submerged & let stand at room temperature for 24 hours.
,,,"Drain, cover cucumbers with boiling water, and quickly drain again."
,,,Pack into hot pint jars.
,,,"Heat vinegar & sugar in a saucepan, stirring until sugar is dissolved."
,,,Tie spices in a cloth & add.
,,,Bring just to a boil and remove spice bag.
,,,Add hot vinegar solution to jars.
,,,"Leave 1/2 inch headspace, and process for 10 minutes."
950,cranberry-pickled pears,https://food52.com/recipes/7791-pickled-pears-with-cranberry-and-ginger,Pack the pears evenly divided in two half pint mason jars.
,,,Bring the cranberry vinegar mix to a boil.
,,,Pour over the pears.
,,,Seal.
,,,Cool.
,,,Refrigerate.
,,,Serve with roasts or alongside cheese.
954,sauerkraut,https://www.thekitchn.com/how-to-make-homemade-sauerkraut-in-a-mason-jar-193124,Clean everything.
,,,"When fermenting anything, it's best to give the good, beneficial bacteria every chance of succeeding by starting off with as clean an environment as possible."
,,,Make sure your mason jar and jelly jar are washed and rinsed of all soap residue.
,,,"You'll be using your hands to massage the salt into the cabbage, so give those a good wash, too."
,,,Slice the cabbage.
,,,"Discard the wilted, limp outer leaves of the cabbage."
,,,Cut the cabbage into quarters and trim out the core.
,,,"Slice each quarter down its length, making 8 wedges."
,,,Slice each wedge crosswise into very thin ribbons.
,,,Combine the cabbage and salt.
,,,Transfer the cabbage to a big bowl and sprinkle the salt over top.
,,,Begin working the salt into the cabbage by massaging and squeezing the cabbage with your hands.
,,,"At first it might not seem like enough salt, but gradually the cabbage will become watery and limp — more like coleslaw than raw cabbage."
,,,This will take 5 to 10 minutes.
,,,"If you'd like to flavor your sauerkraut with caraway seeds, mix them in now."
,,,Pack the cabbage into the jar.
,,,Grab handfuls of the cabbage and pack them into the canning jar.
,,,"If you have a canning funnel, this will make the job easier."
,,,"Every so often, tamp down the cabbage in the jar with your fist."
,,,Pour any liquid released by the cabbage while you were massaging it into the jar.
,,,Optional: Place one of the larger outer leaves of the cabbage over the surface of the sliced cabbage.
,,,This will help keep the cabbage submerged in its liquid.
,,,Weigh the cabbage down.
,,,"Once all the cabbage is packed into the mason jar, slip the smaller jelly jar into the mouth of the jar and weigh it down with clean stones or marbles."
,,,"This will help keep the cabbage weighed down, and eventually, submerged beneath its liquid."
,,,Cover the jar.
,,,Cover the mouth of the mason jar with a cloth and secure it with a rubber band or twine.
,,,"This allows air to flow in and out of the jar, but prevents dust or insects from getting into the jar."
,,,Press the cabbage every few hours.
,,,"Over the next 24 hours, press down on the cabbage every so often with the jelly jar."
,,,"As the cabbage releases its liquid, it will become more limp and compact and the liquid will rise over the top of the cabbage."
,,,"Add extra liquid, if needed."
,,,"If after 24 hours, the liquid has not risen above the cabbage, dissolve 1 teaspoon of salt in 1 cup of water and add enough to submerge the cabbage."
,,,Ferment the cabbage for 3 to 10 days.
,,,"As it's fermenting, keep the sauerkraut away from direct sunlight and at a cool room temperature — ideally 65°F to 75°F."
,,,Check it daily and press it down if the cabbage is floating above the liquid.
,,,"Because this is a small batch of sauerkraut, it will ferment more quickly than larger batches."
,,,"Start tasting it after 3 days — when the sauerkraut tastes good to you, remove the weight, screw on the cap, and refrigerate."
,,,You can also allow the sauerkraut to continue fermenting for 10 days or even longer.
,,,"There's no hard-and-fast rule for when the sauerkraut is ""done"" — go by how it tastes."
,,,"While it's fermenting, you may see bubbles coming through the cabbage, foam on the top, or white scum."
,,,"These are all signs of a healthy, happy fermentation process."
,,,The scum can be skimmed off the top either during fermentation or before refrigerating.
,,,"If you see any mold, skim it off immediately and make sure your cabbage is fully submerged; don't eat moldy parts close to the surface, but the rest of the sauerkraut is fine."
,,,Store sauerkraut for several months.
,,,This sauerkraut is a fermented product so it will keep for at least two months and often longer if kept refrigerated.
,,,"As long as it still tastes and smells good to eat, it will be."
,,,"If you like, you can transfer the sauerkraut to a smaller container for longer storage."